Route_ID	Route_Comb	Dup_Bw_Titles	Dup_Bw_Authors	Source_ID	Target_ID_All	Target_ID_0	Edition_ID	Matched_Entries	Last_Date	First_Date	Duration	Source_ID	Source_Location_Name_Standardized	Target_ID	Target_Location_Name_Standardized	interregional	international
3407	1472;798;1429;184;649;77;481;412;1534;985;67;1455;1397;223	FALSE	FALSE	1472	798;1429;184;649;77;481;412;1534;985;67;1455;1397;223	798	GV1720	12277	1720	1720	0	1472	Venice	798	London	TRUE	TRUE
547	219;798	FALSE	FALSE	219	798	798	RV1576	2403	1576	1576	0	219	Bristol	798	London	FALSE	FALSE
885	398;798	TRUE	FALSE	398	798	798	BS1709;BS1729	11984;12376	1729	1709	20	398	Dover	798	London	FALSE	FALSE
2466	1049;798	FALSE	FALSE	1049	798	798	RV1576	2402	1576	1576	0	1049	Oxford	798	London	FALSE	FALSE
3102	1348;798	FALSE	FALSE	1348	798	798	RV1576	2406	1576	1576	0	1348	St Davids	798	London	TRUE	FALSE
3619	1565;798	FALSE	FALSE	1565	798	798	RV1576	2404	1576	1576	0	1565	York	798	London	FALSE	FALSE
2841	1181;55;798;490	FALSE	FALSE	1181	55;798;490	55	GV1720	12084	1720	1720	0	1181	Rome	55	Antwerp	TRUE	TRUE
616	240;55	TRUE	FALSE	240	55	55	OC1616;OC1623;OC1666;OC1676	6862;7670;9876;10762	1676	1616	60	240	Calais	55	Antwerp	TRUE	TRUE
617	240;55;1305;245	TRUE	TRUE	240	55;1305;245	55	TT1604;TT1605;TT1615;TT1618;TT1629;GS1655;GS1662B;GS1663;GS1673	5059;5305;6430;6979;8171;9056;9406;9652;10288	1673	1604	69	240	Calais	55	Antwerp	TRUE	TRUE
551	222;55	TRUE	TRUE	222	55	55	SAB1562B;GH1563;GH1564A;GH1564B;GH1598A;OC1608;OC1611;OC1616;OC1620;JW1641;OC1666;OC1676	1002;1060;1343;1478;4292;5598;5908;6586;7135;8351;9904;10477	1676	1562	114	222	Brussels	55	Antwerp	TRUE	FALSE
552	222;55;1543	FALSE	FALSE	222	55;1543	55	LA1597;LA1597	3591;3592	1597	1597	0	222	Brussels	55	Antwerp	TRUE	FALSE
553	222;55;865	FALSE	FALSE	222	55;865	55	LA1597	3593	1597	1597	0	222	Brussels	55	Antwerp	TRUE	FALSE
887	399;55;798	FALSE	FALSE	399	55;798	55	DW1577	2469	1577	1577	0	399	Dresden	55	Antwerp	TRUE	TRUE
