Edition_ID	Edition_Title	Edition_Author	Edition_Location	Language	Edition_Publisher	Edition_Date	Author_VIAF	Author_WikiData_AF	Title_USTC	Title_OCLC	Entered
CE1600	La Grande Guide des chemins pour aller et venir par tout le Royaume de France, auec les noms des fleuues et riuieres qui courent parmy les dicts pays Augmenté du voyage de Saint-Jacques, de Rome, de Venise et de Hierusalem	Charles Estienne	Rouen	French	Thomas d'Are	1600	VIAF116409342	Q538586			FALSE
GK1600A	Eigentliche beschreibung, was durch gantz Welschland in einer jeden statt unnd ort	Georg Kranitz	Cologne	German	Balthasar Clipeus	1600	47823349		USTC 632241		TRUE
GK1600B	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Cologne	German	Franz Schnellboltz	1600	47823349			635328077	FALSE
GK1600C	Eigentliche beschreibung, was durch gantz Welschland in einer jeden statt unnd ort	Georg Kranitz	Leipzig	German	Franz Schnellboltz	1600	47823349		USTC 632243		FALSE
AP1600A	Le cose maravigliose dell'alma città di Roma con le poste d'Italia di nuovo corretto & ampliato	Flaminio Primo Colle	Perugia	Italian	Pietro Giacomo Petrucci	1600	VIAF17227673	Q177692	USTC 807444		FALSE
AP1600B	Le cose meravigliose dell'alma città di Roma con le poste d'Italia di nuovo corretto & ampliato	Andrea Palladio	Rome	Italian	Guglielmo Facciotti	1600	VIAF17227673	Q177692	USTC 807447		FALSE
BR1601	La suite de la guide des chemins tant de France, d'Espagne, Italie et autre pays	Charles Estienne	Lyon	French	Benoît Rigaud	1601	47006790	Q538586		82523050	FALSE
GK1601	Delitiae Italiae, Das ist: Eigentliche Beschreibung, was durch gantz Welschland in einer jeden Statt und Ort	Georg Kranitz	Frankfurt	German	Nikolaus Basse;Melchior Hartmann	1601	47823349		USTC 2091229		TRUE
JC1602	Wegweiser auff ganz Teutschland	Johann Cristofol	Cologne	German		1602					FALSE
GK1602A	Delitiae Italiae dat is: Eyghentlijcke beschrijvinghe wat door gantsch Italien, in elcke stadt	Georg Kranitz	Arnhem	Dutch	Jan Janssen	1602	47823349		USTC 1505852		FALSE
